permno,adate,qdate,public_date,roe,TICKER
26403,20200930,20200930,20201231,-0.030,DIS
26607,20191231,20200930,20201231,-0.102,BH
26710,20191231,20200930,20201231,-0.058,L
26825,20191231,20200930,20201231,0.356,K
27828,20201031,20201031,20201231,,HPQ
27887,20191231,20200930,20201231,0.116,BAX
27959,20191231,20200930,20201231,0.039,DUK
27991,20191231,20200930,20201231,0.082,PNW
28222,20200930,20200930,20201231,0.153,APD
28484,20191231,20200930,20201231,-0.394,HES
28804,20191231,20200930,20201231,-0.145,ALK
30681,20191231,20200930,20201231,0.325,OMC
32803,20191231,20200930,20201231,-0.064,HFC
32870,20201031,20201031,20201231,0.143,HRL
32986,20200930,20200930,20201231,0.079,ATO
34032,20191231,20200930,20201231,,MAS
34746,20191231,20200930,20201231,0.078,FITB
34817,20191231,20200930,20201231,0.040,NUE
34833,20191231,20200930,20201231,-0.440,OXY
35044,20191231,20200930,20201231,0.056,RF
35554,20191231,20200930,20201231,0.094,MTB
36003,20191231,20200930,20201231,0.299,ROL
36468,20191231,20200930,20201231,0.388,SHW
37584,20200930,20200930,20201231,0.078,BEN
38093,20191231,20200930,20201231,0.150,AJG
38156,20191231,20200930,20201231,0.016,WMB
38703,20191231,20200930,20201231,0.019,WFC
38762,20191231,20200930,20201231,-0.038,NI
39490,20191231,20200930,20201231,-1.532,APA
39642,20200930,20200930,20201231,0.040,BDX
39917,20191231,20200930,20201231,0.059,WY
40125,20200331,20200930,20201231,-0.564,DXC
40272,20191231,20200930,20201231,0.057,IFF
40539,20200131,20201031,20201231,0.140,TJX
41080,20191231,20200930,20201231,0.206,CMI
41355,20200630,20200930,20201231,0.180,PH
42200,20191231,20200930,20201231,0.144,PKI
42585,20200430,20201031,20201231,0.092,SJM
42877,20191231,20200930,20201231,0.167,JBHT
42906,20191231,20200930,20201231,0.077,HBAN
43123,20191231,20200930,20201231,-0.195,ATI
43350,20191231,20200930,20201231,0.114,SWK
43449,20191231,20200930,20201231,,MCD
43553,20200331,20200930,20201231,-0.025,VFC
44206,20191231,20200930,20201231,0.071,ES
44329,20191231,20200930,20201231,0.106,TFX
44601,20191231,20200930,20201231,0.450,AVY
44644,20200630,20200930,20201231,0.400,ADP
45751,20191231,20200930,20201231,0.258,MMC
45911,20200930,20200930,20201231,0.196,SWKS
46578,20200630,20200930,20201231,1.545,CLX
46674,20191231,20200930,20201231,0.000,GPC
46886,20200630,20200930,20201231,0.398,KLAC
47896,20191231,20200930,20201231,0.109,JPM
48486,20200630,20200930,20201231,0.549,LRCX
48506,20191231,20200930,20201231,1.713,MCO
48653,20191231,20200930,20201231,0.327,HUM
48725,20191231,20200930,20201231,0.184,UNP
49015,20191231,20200930,20201231,0.040,LNC
49154,20200131,20201031,20201231,0.296,TGT
49656,20191231,20200930,20201231,0.113,BK
49680,20191231,20200930,20201231,0.105,DHR
50286,20200930,20200930,20201231,,LEE
50876,20191231,20200930,20201231,1.014,LLY
51369,20191231,20200930,20201231,0.452,TER
52038,20200630,20200930,20201231,-0.010,SYY
52090,20191130,20200831,20201231,0.180,MKC
52230,20191231,20200930,20201231,0.286,RHI
52329,20200930,20200930,20201231,0.060,J
52476,20191231,20200930,20201231,0.157,EFX
52695,20191231,20200930,20201231,0.334,GWW
52708,20191130,20200831,20201231,0.141,LEN
52978,20191231,20200930,20201231,0.151,HAS
53065,20191231,20200930,20201231,0.216,IPG
53613,20200831,20200831,20201231,0.072,MU
54148,20191231,20200930,20201231,0.237,PHM
55976,20200131,20201031,20201231,0.267,WMT
56274,20200531,20200831,20201231,0.130,CAG
56573,20191231,20200930,20201231,0.630,ITW
57568,20191231,20200930,20201231,0.148,BLL
57665,20200531,20200831,20201231,0.302,NKE
57904,20191231,20200930,20201231,0.154,AFL
58246,20191231,20200930,20201231,0.133,NTRS
58683,20191231,20200930,20201231,-0.135,LUV
58819,20191231,20200930,20201231,0.096,LNT
59010,20200131,20201031,20201231,-0.376,GPS
59176,20191231,20200930,20201231,0.154,AXP
59248,20191231,20200930,20201231,0.038,TAP
59328,20191231,20200930,20201231,0.276,INTC
59408,20191231,20200930,20201231,0.080,BAC
59459,20191231,20200930,20201231,0.087,TRV
60206,20191231,20200930,20201231,0.171,SNA
60442,20191231,20200930,20201231,0.062,PNC
60506,20191231,20200930,20201231,0.143,PCAR
60599,20191231,20200930,20201231,0.078,LUMN
60628,20200531,20200831,20201231,0.083,FDX
60871,20201031,20201031,20201231,0.088,ADI
60943,20191231,20200930,20201231,0.158,LEG
60986,20191231,20200930,20201231,-0.026,NWL
61146,20191231,20200930,20201231,-0.439,PAR
61241,20191231,20200930,20201231,0.310,AMD
61399,20200131,20201031,20201231,2.044,LOW
61516,20191231,20200930,20201231,0.486,BIO
61621,20200531,20200831,20201231,0.362,PAYX
62092,20191231,20200930,20201231,0.155,TMO
62148,20191231,20200930,20201231,0.147,CSX
62308,20191231,20200930,20201231,0.099,GL
62498,20191231,20200930,20201231,0.201,WST
64186,20191231,20200930,20201231,0.097,CI
64282,20200131,20201031,20201231,,LB
64311,20191231,20200930,20201231,0.092,NSC
64390,20191231,20200930,20201231,0.355,PGR
64936,20191231,20200930,20201231,0.052,D
64995,20191231,20200930,20201231,0.079,KEY
65402,20191231,20200930,20201231,0.192,AOS
65541,20201031,20201031,20201231,0.064,COO
65875,20191231,20200930,20201231,0.193,VZ
66093,20191231,20200930,20201231,0.046,T
66157,20191231,20200930,20201231,0.107,USB
66181,20200131,20201031,20201231,,HD
66384,20200630,20200930,20201231,-0.004,WDC
66800,20191231,20200930,20201231,-0.080,AIG
67029,20200331,20200930,20201231,0.002,ITI
69032,20191231,20200930,20201231,0.130,MS
69649,20200930,20200930,20201231,0.119,RJF
69796,20200229,20200831,20201231,0.092,STZ
70519,20191231,20200930,20201231,0.067,C
70578,20191231,20200930,20201231,0.126,ECL
71175,20191231,20200930,20201231,0.095,UNM
71563,20191231,20200930,20201231,0.073,TFC
72726,20191231,20200930,20201231,0.113,STT
73139,20191231,20200930,20201231,0.137,SYK
75034,20191231,20200930,20201231,-0.628,BKR
75107,20200331,20200930,20201231,0.197,ABMD
75186,20191231,20200930,20201231,0.139,SCHW
75241,20191231,20200930,20201231,0.013,PXD
75510,20191130,20200831,20201231,0.363,ADBE
75591,20191231,20200930,20201231,0.157,IEX
75607,20200331,20200930,20201231,0.157,NLOK
75825,20191231,20200930,20201231,-0.012,EOG
75828,20200331,20200930,20201231,0.177,EA
75912,20200930,20200930,20201231,0.097,PTC
76076,20200731,20201031,20201231,0.291,CSCO
76082,20191231,20200930,20201231,0.075,COG
76095,20200930,20200930,20201231,0.421,HOLX
76185,20191231,20200930,20201231,0.109,TYL
76201,20200331,20200930,20201231,0.245,XLNX
76226,20191231,20200930,20201231,0.110,VIAC
76230,20191231,20200930,20201231,0.148,TRMB
76605,20200831,20200831,20201231,,AZO
76614,20191231,20200930,20201231,0.295,REGN
76709,20191231,20200930,20201231,2.204,IDXX
76712,20191231,20200930,20201231,-0.089,AES
76744,20191231,20200930,20201231,0.425,VRTX
76795,20191231,20200930,20201231,0.268,ZBRA
76841,20191231,20200930,20201231,0.333,BIIB
77037,20191231,20200930,20201231,0.193,ODFL
77178,20200930,20200930,20201231,0.933,QCOM
77274,20191231,20200930,20201231,0.061,GILD
77338,20191231,20200930,20201231,0.149,ROP
77357,20201031,20201031,20201231,0.148,SNPS
77496,20191231,20200930,20201231,0.064,MHK
77605,20191231,20200930,20201231,0.267,BSX
77661,20200930,20200930,20201231,0.217,DHI
77702,20200930,20200930,20201231,,SBUX
77730,20200930,20200930,20201231,0.125,TSN
78975,20200731,20201031,20201231,0.453,INTU
78987,20200331,20200930,20201231,0.104,MCHP
79103,20191231,20200930,20201231,3.869,ORLY
79265,20191231,20200930,20201231,0.075,FLIR
79323,20191231,20200930,20201231,0.177,ALL
79545,20191231,20200930,20201231,0.078,BWA
79637,20191231,20200930,20201231,0.159,UHS
79678,20191231,20200930,20201231,0.167,ATVI
79698,20191231,20200930,20201231,0.219,IT
79785,20191231,20200930,20201231,0.350,NVR
79906,20191231,20200930,20201231,-0.144,INCY
80080,20191231,20200930,20201231,0.068,EMN
80191,20191231,20200930,20201231,0.088,ALB
80204,20191231,20200930,20201231,0.110,MLM
80286,20191231,20200930,20201231,0.496,TSCO
80320,20200731,20201031,20201231,0.301,CPRT
80563,20191231,20200930,20201231,-0.422,PENN
81055,20191231,20200930,20201231,0.023,COF
81061,20200331,20200930,20201231,0.269,MCK
81481,20200131,20201031,20201231,0.129,DLTR
81540,20200930,20200930,20201231,,ABC
81593,20191231,20200930,20201231,0.281,COOP
81655,20200531,20200831,20201231,-0.074,DRI
81677,20191231,20200930,20201231,0.046,WAB
81696,20191231,20200930,20201231,0.099,DISH
81736,20200630,20200930,20201231,0.295,RMD
81774,20191231,20200930,20201231,-0.008,FCX
82107,20191231,20200930,20201231,0.105,WABC
82307,20191231,20200930,20201231,0.299,DVA
82515,20191231,20200930,20201231,0.735,POOL
82581,20191231,20200930,20201231,0.196,HSIC
82598,20200430,20201031,20201231,2.030,NTAP
82621,20191231,20200930,20201231,-1.418,MLSS
82642,20200630,20200930,20201231,0.141,EL
82651,20191231,20200930,20201231,4.363,WAT
82686,20191231,20200930,20201231,0.772,CTXS
82775,20191231,20200930,20201231,0.110,HIG
83111,20191231,20200930,20201231,0.076,ALXN
83382,20191231,20200930,20201231,0.079,TCX
83621,20191231,20200930,20201231,0.115,ANSS
84032,20191231,20200930,20201231,-0.379,NOV
84129,20191231,20200930,20201231,0.063,ZION
84373,20191231,20200930,20201231,0.192,DGX
